user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Bloktopia News,,"We provide crypto news, insights, and analysis. Bloktopia, Metaverse, NFT, Bitcoin, altcoins, DeFi, GameFi, and Blockchain technology are topics we address.",2021-12-16 09:54:19+00:00,5,3,0,False,2022-02-27 22:57:06+00:00,"Web3 is a Decentralized Version of the Internet that allows users to manage and control their own data. Are we just overhyping Web3?

https://t.co/qNmwDU3yUu

#cryptonews
#cryptoinvestor
#cryptocurrencynews
#cryptocurrency
#crypto
#metaverse
#bloktopianews
#NFT 
#NFTs https://t.co/06UQr0w2fD",,Twitter Web App,False
Perebi Evelyn Asu,,"I'm a network marketer, HomeBase business expertise, a mentor and a coach, digital entrepreneur. I love connecting with people",2022-01-13 19:30:43+00:00,5,83,16,False,2022-02-27 22:57:04+00:00,"@MetakingsAI Great project
#asu_queen
#asu_thompson
#BSC 
#Solana 
#MTK 
#metakings 
#Metaverse","['asu_queen', 'asu_thompson', 'BSC', 'Solana', 'MTK', 'metakings', 'Metaverse']",Twitter Web App,False
Spencer Wield,,just crypto things... you wouldn't understand unless you got rugpulled on a fork of a fork with anon devs of a food coin AMM,2020-10-22 20:39:51+00:00,365,1803,5032,False,2022-02-27 22:56:58+00:00,"@TheMoonCarl Buy $PNT 💰

This is a micro cap (only $18M valuation) with lots of developments in #DeFi &amp; #metaverse initiatives - like @HexagonsGame using their #NFT collection #YoloParrots.

Ensuring cross-chain compatibility between all assets, #pNetwork will be a top player in the future! https://t.co/gidjrOYDQ3","['DeFi', 'metaverse']",Twitter Web App,False
AltWolf,,,2021-11-17 16:03:28+00:00,22,23,487,False,2022-02-27 22:56:57+00:00,"@AltcoinDailyio I believe fully in @Mecha_Morphing.

This #PlayToEarn game has given me a lot of opportunities which I've earned through several ways in their #game #Metaverse.

Played their first #Testnet for free and I earned, participated in their token airdrop.

They've got a great community",['PlayToEarn'],Twitter Web App,False
zenicoro.eth/Doge NFTs,Dig Good Doge,Doge NFT developer (not official)🐶 They're designed for your living rooms in the metaverse🐾 Trying to make a living from NFTs🍄 Low Expectation High Hope!🚀,2021-08-14 00:27:53+00:00,339,79,9553,False,2022-02-27 22:56:39+00:00,"@jf_nft Hi, jf! This is one of the NFTs in my collection which is specific to Doge. They are designed to go well in your museum in the metaverse. Thank you!

#metaverse #dogecoin #NFTs #magicavoel #opensea

https://t.co/58R1gq10cJ https://t.co/BpnVEuNM37",,Twitter Web App,False
CryptoChic,,"Collect & Connect 🌐 RT • Follow • ❤️ 
#NFTAddict #CryptoProjectFinder",2021-05-13 08:25:05+00:00,39,249,943,False,2022-02-27 22:56:28+00:00,"@AltCryptoGems Check @RoTTheGame 💥

📣AMA with @AvStarCapital on Feb 28
🏦Strategic investment with @Momentum_6 and partnership with @AvStarCapital and @RankerDAO
📝Discord Whitelist Invite Campaign for Genesis NFT Drop

#Metaverse #NFT #PlaytoEarn #Bitcoin $ROT $BTC $CAKE $SOL https://t.co/96kQ7XMgto",,Twitter for Android,False
AlphaMale ⚔️,,"Razor Network $RAZOR
Morpheus Labs $MITX
Marlin Protocol $POND

#CRO",2020-12-29 14:51:47+00:00,277,252,4310,False,2022-02-27 22:56:24+00:00,"@AltcoinWorldcom I am buying @morpheuslabs_io'd gem, $MITX. I really like what they're doing in the #Metaverse and #NFT space.

Let's go, #MorpheusArmy.

The #MLSEED is doing wonders for #MorpheusLabs https://t.co/tJ8xF7ZAmI",['Metaverse'],Twitter for Android,False
Pável Garré,Tulum Q.roo Mex.,"I am dedicated to Visual Arts and Crypto Art.
I always seek to address issues that are relevant to the present and also personal issues.",2022-02-13 03:53:50+00:00,35,341,82,False,2022-02-27 22:56:23+00:00,"Hey,  when you get this nft with a price of 0.01 Eth, I will give you another nft. 🙃🎨🪐🖌️✨
#NFT #NFTs #NFTProject #NFTGiveaways #nftart #NFTartist #ethnft #PolygonNFT #Metaverse #NFTCollection #nftcollector 
https://t.co/d1lp99P21M","['NFT', 'NFTs', 'NFTProject']",Twitter Web App,False
༒•∂ᖇ◎𝕎𝓧ᵉŞ•༒,Soul Society,"@codigocyphex Chief Anon. 1303 OG @boom_army_ | OG BT @defi_land
 ~El individuo debe determinar su código~
~Psy congroo & aspira ad astra~
Hermitaño digital.",2019-07-27 14:17:51+00:00,676,582,66455,False,2022-02-27 22:56:02+00:00,"However, the rise and fall of one of #Axie's in-game currencies reveals the challenges inherent in developing sustainable economic models for games, as well as a practical reality that for #metaverse games to succeed: There must be more to play than to earn.",['Axie'],Twitter for Android,False
ScottWD,"Melbourne, Australia","Community Manager for an upcoming WarDucks gaming project.

#metaverse #gaming #music #crypto #NFTs #VirtualProperty #VirtualLand #VirtualRealEstate",2022-02-02 00:05:23+00:00,64,526,58,False,2022-02-27 22:55:53+00:00,"Why real estate investors are going crazy over virtual lands? https://t.co/JWmX0zxDA0 via @cointelegraph 
#virtualland #metaverse #virtualreality",,Twitter Web App,False
CryptoChic,,"Collect & Connect 🌐 RT • Follow • ❤️ 
#NFTAddict #CryptoProjectFinder",2021-05-13 08:25:05+00:00,39,249,943,False,2022-02-27 22:55:49+00:00,"@DonCrypto_ This is the best time to check @RoTTheGame 

📣AMA with @AvStarCapital on Feb 28
🏦Strategic investment with @Momentum_6 and partnership with @AvStarCapital and @RankerDAO
📝Discord Whitelist Invite Campaign for Genesis NFT Drop

#Metaverse #NFT #PlaytoEarn #Bitcoin $ROT $BTC https://t.co/RgNsiyaqvf",,Twitter for Android,False
Demurejsh,,"Tech lover || Supporting @Stafi_Protocol, @MorpheusLabs_io & @MarlinProtocol",2021-04-14 16:51:49+00:00,287,213,2915,False,2022-02-27 22:55:29+00:00,"@altcryptocom $mitx is up for that in the long term.

#MorpheusLabs #MLSeed #Metaverse","['MorpheusLabs', 'MLSeed', 'Metaverse']",Twitter for iPhone,False
Demurejsh,,"Tech lover || Supporting @Stafi_Protocol, @MorpheusLabs_io & @MarlinProtocol",2021-04-14 16:51:49+00:00,287,213,2915,False,2022-02-27 22:55:12+00:00,"@CryptoNostra Gotta be $mitx for the long term.

#MorpheusLabs #MLSeed #Metaverse","['MorpheusLabs', 'MLSeed', 'Metaverse']",Twitter for iPhone,False
rendy,,Nice,2019-06-16 00:44:11+00:00,110,757,801,False,2022-02-27 22:55:03+00:00,"@BNBCHAIN #Moniwar #BSC #NFT #GameFi #Metaverse #MVBIV @moniwar_game 

 Wonderful innovative work that's highly commendable. One of the best projects I've seen around. Thanks also to the team for the opportunity to be a beneficiary of your generosity.","['Moniwar', 'BSC', 'NFT', 'GameFi', 'Metaverse', 'MVBIV']",Twitter Web App,False
7 Days Space,,"Information for all about crypto!
#NFT generator 
Promoting #NFTs",2018-01-04 09:12:09+00:00,508,531,2158,False,2022-02-27 22:55:01+00:00,"⛰️Blackforge Bay is land of a Dwarven society for you to revel in. Prizes, rare metal and also alcohol consumption!💎

Unlimited use:
15%QFH9GDPRCQ -15%off😍

@AftermathIsland #Metaverse #PlayToEarn #GameDev #VirtualReality #BabyDOGE #NFTCommunity
https://t.co/eoZVESXQzK",,Hootsuite Inc.,False
HamoChick,,,2021-10-12 10:46:22+00:00,245,359,5092,False,2022-02-27 22:54:50+00:00,"@AltCryptoGems #Cheemsinu
The one and only
#MemeTech 
#EthBridge 
#NFT 
#Metaverse #Gotham
Let's gooooo https://t.co/PNdLqm0M5R","['Cheemsinu', 'MemeTech', 'EthBridge', 'NFT', 'Metaverse', 'Gotham']",Twitter for Android,False
Feeple - FANTOM METAVERSE,,"Just some Fantom people... uh I mean, Just some Feeple on the blockchain",2021-11-27 11:22:33+00:00,1227,187,400,False,2022-02-27 22:54:38+00:00,"Snowple Slopes #3 sold for 770 $FTM 🎉

Feeple Forest #3 auction is now live on @paint_swap for 24 hours⏰

https://t.co/NRd1JV8olu

#Fantom #Metaverse",,Twitter Web App,False
Dalang Crypto,,,2021-09-08 07:54:51+00:00,6,47,69,False,2022-02-27 22:54:30+00:00,"@rovercrc Apocalypse | $APOC
💯 Doxxed, KYC, Video AMA
💯 Solid and Secure
💎 2000% Returns
💎 Super Easy to Play
🕹 $APOC Launch 28th Feb ""

@RevoluzionToken #apocalypse #altcoinseason #cryptocurrency #P2E #Bitcoin #altcoin #Metaverse #100xgem",,Twitter for Android,False
Demurejsh,,"Tech lover || Supporting @Stafi_Protocol, @MorpheusLabs_io & @MarlinProtocol",2021-04-14 16:51:49+00:00,287,213,2915,False,2022-02-27 22:54:29+00:00,"@cryptogems555 I would still prefer $mitx as my long term gem.

#MorpheusLabs #MLSeed #Metaverse","['MorpheusLabs', 'MLSeed', 'Metaverse']",Twitter for iPhone,False
Meta Monsters Club,United States,"MMC is a collection of 6,000 generative NFTs, each with its own unique look & personality. Each running on polygon for a fast and gas-free experience!",2021-12-05 17:19:46+00:00,141,122,66,False,2022-02-27 22:54:19+00:00,"✅ Follow us to grab your monster when it's on sale  ❤️ and 🔁
✅ Join our server https://t.co/WVFytDu5sw 
📢 Meta Monster #1616 is on sale 👉 https://t.co/62wB38Y2cO

#nftnews #nftmagazine #NFTCommunity #NFTs #btc #metaverse #nftartists #Ethereum",,MetaMonstersClub,False
CryptoChic,,"Collect & Connect 🌐 RT • Follow • ❤️ 
#NFTAddict #CryptoProjectFinder",2021-05-13 08:25:05+00:00,39,249,943,False,2022-02-27 22:54:12+00:00,"@solnft_king Look at @RoTTheGame 

📣AMA with @AvStarCapital on Feb 28
🏦Strategic investment with @Momentum_6 and partnership with @AvStarCapital and @RankerDAO
📝Discord Whitelist Invite Campaign for Genesis NFT Drop

#Metaverse #NFT #PlaytoEarn #Bitcoin $ROT $BTC $CAKE $SOL https://t.co/M9XqTRJHhc",,Twitter for Android,False
SaitaKan,SaitaMask,Make the world a better place! 🐺,2020-07-11 01:51:05+00:00,5407,281,19431,False,2022-02-27 22:54:04+00:00,"Hello there #Monday

@LuckyRooToken #LuckyRooToken #Luckyroo #Rootroops #bitcoin #ethereum #defi #metaverse #wallet #saitamask #casino https://t.co/AZDNSvT7jt","['Monday', 'LuckyRooToken', 'Luckyroo', 'Rootroops', 'bitcoin', 'ethereum', 'defi', 'metaverse', 'wallet']",Twitter for Android,False
barnar,,"Check out our community of real traders helping each other profit, Education,live lessons, alerts and more.https://t.co/DvXVumB9hc",2021-06-16 02:11:55+00:00,569,4,5,False,2022-02-27 22:53:57+00:00,"Honestly i think $ATLAS and $POLIS has the most bullish charts right now for #Metaverse coins

$BTC $ETH $SOL $LINK $LUNA $D
OGE $MANA $BNB $DOT $VET $MATIC $CHZ $KCS $ANKR $VRA $SHIB $TCP $XRP $FET $VRA $RUNE $KDA $RSR $SAND $MBOX $GALA $POLIS $UFO $DAR https://t.co/isVZnzQ6wY",['Metaverse'],Twitter for Android,False
Dalang Crypto,,,2021-09-08 07:54:51+00:00,6,47,69,False,2022-02-27 22:53:48+00:00,"@Dennis_Porter_ Apocalypse | $APOC
💯 Doxxed, KYC, Video AMA
💯 Solid and Secure
💎 2000% Returns
💎 Super Easy to Play
🕹 $APOC Launch 28th Feb ""

@RevoluzionToken #apocalypse #altcoinseason #cryptocurrency #P2E #Bitcoin #altcoin #Metaverse #100xgem",,Twitter for Android,False
RaveHarmony.one,The Rave,$RAVE 🚨 Harmony HRC20 token celebrating the global RAVE community! Website for token info and merch! #harmonyone | Discord 👉 https://t.co/OhVCusfQZh,2021-06-09 22:47:41+00:00,648,1526,1240,False,2022-02-27 22:53:31+00:00,New medium detailing the Jungleverse from our friends at HarmonApe! #harmonape #HarmonyONE #ape #metaverse #p2e https://t.co/FSHgjH1OWV,"['harmonape', 'HarmonyONE', 'ape', 'metaverse', 'p2e']",Twitter for iPhone,False
Oladipupo Michael Oluwatosin,West Africa,"I'm a Professional Marketer, with Specialized marketing strategy in promoting NFTs to boost sales, and popularity.",2021-08-25 05:55:45+00:00,55,558,8,False,2022-02-27 22:53:29+00:00,"Do you love NFTs?
If yes!!! This is specially for you✅

❤To show much you love NFTs❤
Like✅
Retweet🥰
Follow😍
JOIN DISCORD 👉 https://t.co/alHIGw417F

#NFTs #nfts #NFT #NFTdrop #nftcollector #Metaverse #Ethereum https://t.co/BlSNoWMWhB",,Twitter for Android,False
Dalang Crypto,,,2021-09-08 07:54:51+00:00,6,47,69,False,2022-02-27 22:53:28+00:00,"@intocryptoverse Apocalypse | $APOC
💯 Doxxed, KYC, Video AMA
💯 Solid and Secure
💎 2000% Returns
💎 Super Easy to Play
🕹 $APOC Launch 28th Feb ""

@RevoluzionToken #apocalypse #altcoinseason #cryptocurrency #P2E #Bitcoin #altcoin #Metaverse #100xgem",,Twitter for Android,False
VRtoday,Virtual Reality ,Find the next VR thing. Get the latest Metaverse news in your inbox.,2021-06-02 11:43:09+00:00,274,26,867,False,2022-02-27 22:53:26+00:00,Alfa Romeo unveils C42 via innovative augmented reality platform - The Checkered Flag https://t.co/lZJYzRvjQO #VR #VirtualReality #AR #AugmentedReality #Metaverse #XR #VRToday #VRNews #MetaverseNews #vrheadset #newtech #productreviews,['VR'],Integromat,False
Meta Monsters Club,United States,"MMC is a collection of 6,000 generative NFTs, each with its own unique look & personality. Each running on polygon for a fast and gas-free experience!",2021-12-05 17:19:46+00:00,141,122,66,False,2022-02-27 22:53:16+00:00,"✅ Follow us to grab your monster when it's on sale  ❤️ and 🔁
✅ Join our server https://t.co/WVFytDu5sw 
📢 Meta Monster #1612 is on sale 👉 https://t.co/lmhpXsDUyA

#superrare #raredigitalart #bitcoin #Ethereum #digitalart #metaverse #nftsstories",,MetaMonstersClub,False
Felicity,,"Highly introvert 😃😃
Just kidding",2021-12-19 12:59:18+00:00,8,78,56,False,2022-02-27 22:53:00+00:00,"@BSCGemsAlert https://t.co/kN4oewLAzq Fair Launch is coming soon with stealth mode 🔥 Introducing the world's first NFT Social #GameFi 2022 🚀
#P2E #S2E Social-To-Earn philosophy building on top of #BSC Inspired by #Mobox 

#Facebox #NFT #Metaverse #FAFA #FAFAverse
🔗 https://t.co/StYuv4BsEJ",,Twitter for Android,False
True.Cryptonian,,"Join me on my ALTCOIN 🪙 journey, I will create the ultimate Micro Cap Portfolio 🥳, NOT FINANCIAL ADVICE. To Be Great One Must Be Great🤔",2021-10-07 12:13:09+00:00,258,135,4071,False,2022-02-27 22:52:55+00:00,"Ladies and Gentlemen….. please be careful of this man! I know a scammer when I see them. I called him a scammer and he blocked me 🤣🤣. I don’t even post about #SHIB I am team #SHIRYO ALL THE WAY!! 
.
.
#ETH #Shiryo #Shiryoverse #NFTs #altcoins #NFTGame #Metaverse #SHIB https://t.co/13BRjnRnBT",,Twitter for iPhone,False
$Marvin Billionaire,,"Official   🐦 👉   @Marvin_Inu   
                                          https://t.co/zRX94tNcyp",2021-09-14 13:49:44+00:00,90,198,3496,False,2022-02-27 22:52:48+00:00,"@WhaleInsider @Marvin_Inu    $Marvin

https://t.co/ptEDneUMiF
@elonmusk bossy 🐕

Head of our marketing -#KyleKlemmer from #Floki 

#ETH ➡️ #BSC BRIDGE IS LIVE 🌉

🏗 - |#Staking| |#Farming| |#NFTs|#Launchpad| #P2EGame| #NFTMarketplace|#Metaverse

#MarvinInu #1000xgem #Bullish #altcoinseason https://t.co/4911wvQCDR",,Twitter Web App,False
Ξbel,Bandung,"Simplicity is the hardest thing to achieve. simple but own-able
#BurningMaroo $Maroo",2009-04-19 08:58:33+00:00,118,2834,1368,False,2022-02-27 22:52:48+00:00,"@BNBCHAIN Hope it Will be huge in the future and have solid community. 
#Moniwar #BSC #NFT #GameFi #Metaverse #MVBIV @moniwar_game","['Moniwar', 'BSC', 'NFT', 'GameFi', 'Metaverse', 'MVBIV']",Twitter Web App,False
Demurejsh,,"Tech lover || Supporting @Stafi_Protocol, @MorpheusLabs_io & @MarlinProtocol",2021-04-14 16:51:49+00:00,287,213,2915,False,2022-02-27 22:52:36+00:00,"@altcryptocom $mitx will be my target for stacking this week.

#MorpheusLabs #MLSeed #Metaverse","['MorpheusLabs', 'MLSeed', 'Metaverse']",Twitter for iPhone,False
NFTArtist09,,"Follow me for your #Web3, #Metaverse & #NFT Projects updates! #Sandbox #ApesofSpace #P2E #nudiescommunity #nftcommunity",2021-12-01 07:35:37+00:00,189,402,661,False,2022-02-27 22:52:35+00:00,"Looking for a #p2e game on #Sandbox #Metaverse, start by #DYOR here on https://t.co/oq1SOoqyRV or @ApesofSpace_nft  and see how being a Ape holder gets you #NFTutility with #passiveincome opportunity by receiving a free #Vx #VOXEL

Watch the vid 
Follow @NFTArtist09
#RETWEEET https://t.co/3Z7raO0l8b","['p2e', 'Sandbox', 'Metaverse', 'DYOR']",Twitter for iPhone,False
LeMaxwell_nft,"Paris, France","Nft artist 
Create a collection of MEATBALL
You can see my road Map
New collection gonna come
https://t.co/Jn0oqGAHNB",2017-01-02 07:24:53+00:00,25,159,116,False,2022-02-27 22:52:35+00:00,"@NFTCompanyy MeatBalls project phase 1
See more and my road Map on opensea.
New drop #21 The Dude
https://t.co/hwzOO3bFgN
#NFTCommunity #NFT #NFTdrop #NFTs #nftcollector #nftart #opensea #Metaverse #NFTGiveaway #ETH https://t.co/ktUN7gHm7S",,Twitter for Android,False
R3WIRED,Moon Party,"Don't provide anyone with private keys!
https://t.co/AuOwuMNk9J.
Follow me on https://t.co/3rWDTSpAjC
Ask Me For A Free NFT !
Follow @techleadhd!!!",2021-07-15 19:51:27+00:00,813,100,3057,False,2022-02-27 22:52:26+00:00,"@Respawn,
 Hands down #ApexLegends has to be the best #BattleRoyale in the market.

@PlayApex,
 Loyal apex users have accumulated ""LegendTokens"" over time. 
Turn these into a crypto asset.
Use legend tokens for in game asset via #NFTs.
#Apex × #blockchaintechnology = #Metaverse. https://t.co/hJLZYSgLQV","['ApexLegends', 'BattleRoyale']",Twitter for Android,False
LeMaxwell_nft,"Paris, France","Nft artist 
Create a collection of MEATBALL
You can see my road Map
New collection gonna come
https://t.co/Jn0oqGAHNB",2017-01-02 07:24:53+00:00,25,159,116,False,2022-02-27 22:52:25+00:00,"@ClericNft MeatBalls project phase 1
See more and my road Map on opensea.
New drop #21 The Dude
https://t.co/hwzOO2U3Sd
#NFTCommunity #NFT #NFTdrop #NFTs #nftcollector #nftart #opensea #Metaverse #NFTGiveaway #ETH https://t.co/8lzU9yNicC",,Twitter for Android,False
WClub by Crypto Mama❤️,Bahamas,WClub | WApp | WConference | WAward Women Empowering Women in Blockchain,2022-02-27 22:31:07+00:00,15,45,2,False,2022-02-27 22:52:21+00:00,#WTalk’s are so addictive that they last up to 14h 😂 #Crypto #Metaverse #DAO #NFT #startup #TwitterSpace #WClub #WFamily https://t.co/NpCAiYSnWR,"['WTalk', 'Crypto', 'Metaverse', 'DAO', 'NFT', 'startup', 'TwitterSpace', 'WClub']",Twitter for iPhone,False
CryptoChic,,"Collect & Connect 🌐 RT • Follow • ❤️ 
#NFTAddict #CryptoProjectFinder",2021-05-13 08:25:05+00:00,39,249,943,False,2022-02-27 22:52:18+00:00,"@TheCryptoDoc1 I bet you should check @RoTTheGame now🚀

📣AMA with @AvStarCapital on Feb 28
🏦Strategic investment with @Momentum_6 and partnership with @AvStarCapital and @RankerDAO
📝Discord Whitelist Invite Campaign for Genesis NFT Drop

#Metaverse #NFT #PlaytoEarn #Bitcoin $ROT $BTC $SOL https://t.co/pKuyHVvflw",,Twitter for Android,False
FanNFTs,AROUND WORLD,NFTS Fan Welcome here! ⚠️,2021-12-16 22:23:52+00:00,4,9,44,False,2022-02-27 22:52:16+00:00,"Damn boys ‼️ 

#NFTs #NFT #NFTdrop #META #Metaverse #OpenSeaNFT #ETH https://t.co/kZFmDEXqku","['NFTs', 'NFT', 'NFTdrop', 'META', 'Metaverse', 'OpenSeaNFT', 'ETH']",Twitter for Android,False
LeMaxwell_nft,"Paris, France","Nft artist 
Create a collection of MEATBALL
You can see my road Map
New collection gonna come
https://t.co/Jn0oqGAHNB",2017-01-02 07:24:53+00:00,25,159,116,False,2022-02-27 22:52:13+00:00,"@RoofGanz MeatBalls project phase 1
See more and my road Map on opensea.
New drop #21 The Dude
https://t.co/hwzOO3bFgN
#NFTCommunity #NFT #NFTdrop #NFTs #nftcollector #nftart #opensea #Metaverse #NFTGiveaway #ETH https://t.co/Dqt5pL1iCP",,Twitter for Android,False
Dalang Crypto,,,2021-09-08 07:54:51+00:00,6,47,69,False,2022-02-27 22:52:11+00:00,"@Davincij15 Apocalypse | $APOC
💯 Doxxed, KYC, Video AMA
💯 Solid and Secure
💎 2000% Returns
💎 Super Easy to Play
🕹 $APOC Launch 28th Feb ""

@RevoluzionToken #apocalypse #altcoinseason #cryptocurrency #P2E #Bitcoin #altcoin #Metaverse #100xgem",,Twitter for Android,False
Meta Monsters Club,United States,"MMC is a collection of 6,000 generative NFTs, each with its own unique look & personality. Each running on polygon for a fast and gas-free experience!",2021-12-05 17:19:46+00:00,141,122,66,False,2022-02-27 22:52:00+00:00,"✅ Follow us to grab your monster when it's on sale  ❤️ and 🔁
✅ Join our server https://t.co/WVFytDu5sw 
📢 Meta Monster #1607 is on sale 👉 https://t.co/M7VQHe3O2q

#nft #nftcollector #superrare #metaverse #cryptoartist #nftgallery #nftcollectors",,MetaMonstersClub,False
